,new_index,temp,ph
68954,68954,29.75,7.31
68955,68955,29.75,7.28
68956,68956,29.69,7.29
68957,68957,29.69,7.32
68958,68958,29.69,7.35
68959,68959,29.75,7.33
68960,68960,29.75,7.3
68961,68961,29.75,7.31
68962,68962,29.75,7.33
68963,68963,29.75,7.32
68964,68964,29.75,7.31
68965,68965,29.69,7.3
68966,68966,29.69,7.32
68967,68967,29.75,7.29
68968,68968,29.75,7.31
68969,68969,29.81,7.32
68970,68970,29.75,7.29
68971,68971,29.69,7.28
68972,68972,29.81,7.32
68973,68973,29.75,7.32
68974,68974,29.75,7.31
68975,68975,29.81,7.32
68976,68976,29.81,7.32
68977,68977,29.81,7.3
68978,68978,29.81,7.32
68979,68979,29.81,7.32
68980,68980,29.81,7.29
68981,68981,29.75,7.28
68982,68982,29.75,7.3
68983,68983,29.81,7.32
68984,68984,29.75,7.31
68985,68985,29.75,7.31
68986,68986,29.81,7.28
68987,68987,29.75,7.3
68988,68988,29.81,7.3
68989,68989,29.81,7.3
68990,68990,29.81,7.31
68991,68991,29.81,7.25
68992,68992,29.81,7.32
68993,68993,29.81,7.32
68994,68994,29.81,7.27
68995,68995,29.81,7.32
68996,68996,29.81,7.31
68997,68997,29.81,7.29
68998,68998,29.87,7.31
68999,68999,29.81,7.32
